source_id,source_url,handle,title,title_normalized,brand_slug,brand_name,category,sku,short_description,description,image_main,image_gallery,source_price_ref_cents,in_stock,units_per_case,cases_per_pallet,case_order_step,minimum_cases,net_weight_g,storage_type,country_of_origin,needs_manual,last_import
383,https://mondialfood.fr/produit/mochi-framboise-ice-cream-wao/,mochi-framboise-ice-cream-wao,Mochi Framboise Ice Cream WAO,mochi framboise ice cream wao,wao,Wao,Desserts &amp; Fruits,,"Le Mochi Framboise Glacé WAO est une délicieuse gourmandise alliant une pâte de riz moelleuse à un cœur fondant de framboise. Ce désert glacé offre une fraîcheur fruitée avec une touche sucrée, idéale pour une pause gourmande. Un délice à déguster à tout moment !","Une douceur fruitée avec le mochi framboise glacé Wao
<p>Le mochi framboise glacé WAO est une véritable invitation à la fraîcheur fruitée. Son équilibre parfait entre la pâte de riz moelleuse et le cœur fondant de framboise crée une expérience gourmande unique. Que ce soit en été ou pour une pause sucrée, ce mochi glacé saura combler les amateurs de saveurs fruitées et légères.</p>
Dessert glacé : une pause légère et gourmande
<p>La pâte de riz moelleuse enveloppe un cœur fondant de framboise pour une expérience gourmande légère et rafraîchissante. Parfait pour une pause douce, ce dessert glacé allie fraîcheur et douceur sucrée pour satisfaire les envies sucrées de manière équilibrée. À savourer à tout moment pour une touche fruitée et gourmande.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/Mochi-Framboise-Ice-Cream-WAO.jpeg,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
382,https://mondialfood.fr/produit/6-mochi-glace-caramel-wao/,6-mochi-glace-caramel-wao,Mochi Glacé Caramel Wao,mochi glacé caramel wao,wao,Wao,Desserts &amp; Fruits,,"Découvrez le paquet de 6 Mochis au Caramel WAO, une délicieuse gourmandise alliant une pâte de riz moelleuse à un cœur fondant au caramel. Chaque bouchée offre un équilibre parfait entre la douceur du caramel et la légèreté du mochi. Parfait pour une pause sucrée, ces mochi ajoutent une touche…","Délicieux mochi glacé caramel WAO <p>Avec sa pâte de riz moelleuse et son cœur fondant au caramel, chaque bouchée offre une expérience gourmande unique. Idéal pour une pause réconfortante ou un dessert léger, ce mochi glacé ravira vos papilles. Que ce soit seul ou en accompagnement, le Mochi Glacé Caramel WAO est une gourmandise irrésistible.</p>
Une pause gourmande avec le mochi glacé caramel WAO
<p>Découvrez le mochi glacé goût Caramel, une combinaison parfaite de douceur et de légèreté. Sa pâte de riz fondante enveloppe un cœur onctueux au caramel, créant ainsi un équilibre harmonieux entre sucré et frais. Idéal pour une pause gourmande, il apporte une touche sucrée subtile à vos moments de détente. Facile à emporter, il enrichit vos moments sucrés avec simplicité et délice.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/10-1.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
381,https://mondialfood.fr/produit/6-mochi-glace-chocolat-wao/,6-mochi-glace-chocolat-wao,Mochi Glacé Chocolat Wao,mochi glacé chocolat wao,wao,Wao,Desserts &amp; Fruits,,"Découvrez le Mochi Glacé Chocolat WAO, un délicieux dessert alliant une pâte de riz moelleuse à un cœur glacé au chocolat intense. Une gourmandise glacée parfaite pour les amoureux du chocolat et des douceurs originales. À savourer à tout moment pour une pause fraîche et gourmande !","Le mochi glacé chocolat Wao : entre douceur et chocolat intense
<p>Le mochi glacé au chocolat de la marque WAO réinvente le plaisir gourmand en combinant une pâte de riz moelleuse et un cœur glacé au chocolat. Que ce soit en dessert ou en encas, cette gourmandise glacée ravira les amateurs de chocolat à la recherche d’un moment de plaisir intense. Redécouvrez le chocolat sous une forme innovante qui séduit par sa texture fondante et son goût authentique. Laissez-vous tenter par cette douceur irrésistible.</p>
Le plaisir d’un dessert glacé au cœur fondant
<p>Craquez pour le mochi glacé goût chocolat, une création qui allie tradition japonaise et plaisir moderne. Ce dessert unique offre une expérience glacée avec sa pâte de riz tendre et son cœur au chocolat onctueux. Facile à savourer, il est parfait pour partager un moment sucré entre amis ou en famille. Avec son format pratique et sa saveur délicieuse, le mochi glacé au chocolat est le choix parfait pour égayer vos pauses gourmandes.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/6-Mochi-Glace-Chocolat-Wao.jpg,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
380,https://mondialfood.fr/produit/6-mochi-glace-cheesecake-wao/,6-mochi-glace-cheesecake-wao,Mochi Glacé Cheesecake Wao,mochi glacé cheesecake wao,wao,Wao,Desserts &amp; Fruits,,"Envie d&rsquo;un dessert irrésistible ? Imaginez un mochi glacé au cheesecake ! Pour les grands gourmands, le Mochi Glacé Cheesecake WAO est une véritable tentation. Ce dessert combine une crème glacée onctueuse au goût de cheesecake, enveloppée dans une pâte de mochi douce et fondante. Chaque…","Le mochi glacé cheesecake WAO : un dessert crémeux et savoureux
<p>Le mochi glacé cheesecake WAO est l’option parfaite pour ceux qui cherchent à combiner douceur et gourmandise. Avec sa crème glacée onctueuse au goût de cheesecake et sa pâte de mochi fondante, ce dessert offre une expérience gustative unique. Chaque bouchée est un véritable moment de plaisir, avec une texture douce et crémeuse qui fond en bouche. Idéal pour les amateurs de desserts sucrés, le mochi glacé au cheesecake est le choix parfait pour satisfaire tes envies gourmandes sans culpabilité. Si tu aimes le cheesecake, ce dessert est fait pour toi !</p>
Une gourmandise irrésistible pour les gourmands
<p>Le mochi glacé au cheesecake est une véritable tentation pour les gourmands. Ce dessert combine l’intensité du cheesecake avec la douceur et la légèreté du mochi, offrant ainsi une fusion de saveurs et de textures parfaitement équilibrées. Facile à déguster et agréable à chaque bouchée, ce dessert est une excellente option pour les moments gourmands. À savourer sans modération, le mochi glacé cheesecake WAO est le délice qu’il te faut pour satisfaire tes envies sucrées.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/6-Mochi-Glace-Cheesecake-Wao.webp,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
379,https://mondialfood.fr/produit/6-mochi-glace-tropical-wao/,6-mochi-glace-tropical-wao,Mochi glacé Tropical Wao,mochi glacé tropical wao,wao,Wao,Desserts &amp; Fruits,,"Le Mochi Tropical WAO est une véritable invitation à la fraîcheur, avec une crème glacée aux saveurs exotiques de fruits tropicaux, enveloppée dans une pâte de mochi tendre. Chaque bouchée vous transporte sous les tropiques, alliant douceur et légèreté. Idéal pour une pause gourmande, ce dessert…","Le mochi tropical WAO : dégustez les saveurs exotiques
<p>Le mochi tropical de la marque WAO est une véritable aventure gustative, alliant la fraîcheur des fruits tropicaux à la douceur d&rsquo;une crème glacée onctueuse. Enrobé d&rsquo;une pâte de mochi fondante, il offre un contraste parfait entre texture légère et saveur intense. Ce dessert glacé vous transporte instantanément vers des destinations exotiques. Le mochi tropical est une véritable invitation à savourer les plaisirs de l&rsquo;été, tout en profitant de la légèreté et de la douceur caractéristiques du mochi.</p>
Un dessert rafraîchissant et gourmand <p>Le mochi tropical WAO est l&rsquo;allié parfait pour vos moments gourmands. Sa combinaison unique de saveurs fruitées et de mochi tendre en fait un dessert à la fois rafraîchissant et délicieux. Facile à déguster, ce dessert est idéal pour une pause sucrée, une fin de repas légère ou pour partager un instant de plaisir. </p>",https://mondialfood.fr/wp-content/uploads/2025/01/9-1.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
377,https://mondialfood.fr/produit/6-mochi-glace-pistache-wao/,6-mochi-glace-pistache-wao,Mochi Glacé Pistache Wao,mochi glacé pistache wao,wao,Wao,Desserts &amp; Fruits,,"Découvrez le Mochi Glacé Pistache WAO, une crème glacée onctueuse à la pistache enrobée d&rsquo;une pâte de mochi douce et fondante. L&rsquo;association parfaite entre la douceur du mochi et le goût authentique de la pistache en fait un dessert irrésistible, à savourer à tout moment. Craquez pour…","Délicieux mochi glacé pistache WAO <p>Le Mochi Glacé à la Pistache de la marque WAO est une véritable invitation à savourer de la pistache glacé dans un format original. La crème glacée onctueuse à la pistache, riche en saveur et légèrement sucrée, se marie parfaitement avec la texture du mochi qui offre une douceur incomparable. Ce dessert est un véritable moment de plaisir, alliant une fraîcheur légère et un goût intense. </p>
Un dessert frais et gourmand à la pistache <p>Que ce soit après un repas, lors d&rsquo;une pause gourmande ou pour partager un moment sucré, le mochi glacé goût pistache est le choix parfait. Facile à déguster, sa texture fondante et sa douceur en font un dessert qui ravira petits et grands. Légèrement sucré et d&rsquo;une grande finesse, il répond aux attentes des amateurs de desserts raffinés, tout en restant accessible à tous. </p>",https://mondialfood.fr/wp-content/uploads/2025/01/6-Mochi-Glace-Pistache-Wao.jpg,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
376,https://mondialfood.fr/produit/6-mochi-glace-a-la-vanille-wao/,6-mochi-glace-a-la-vanille-wao,Mochi Glacé à la Vanille Wao,mochi glacé à la vanille wao,wao,Wao,Desserts &amp; Fruits,,"Découvrez l&rsquo;incontournable Mochi Vanille WAO : une crème glacée onctueuse à la vanille, enrobée d&rsquo;une coque de mochi tendre et fondante. Un équilibre parfait entre douceur et légèreté, idéal pour un moment gourmand à tout moment de la journée. Craquez pour ce dessert qui allie…","Mochi à la Vanille Wao : un parfait dessert glacé
<p>Découvrez le Mochi Vanille WAO, un mariage exquis entre une crème glacée onctueuse à la vanille et une coque tendre de mochi. Ce dessert offre une texture unique, mêlant la douceur fondante de la glace à la légèreté moelleuse de l’enrobage. Parfait pour les amateurs de gourmandises, il séduira tous ceux qui recherchent un plaisir simple et raffiné. Savourez-le lors d’une pause détente ou pour clore un repas sur une note douce et légère.</p>
Un dessert irrésistible pour tous les moments
<p>Avec le mochi glacé goût vanille, accordez-vous un instant gourmand à tout moment de la journée. Que ce soit en été pour se rafraîchir ou en hiver pour une touche sucrée, ce dessert s’adapte à toutes les envies. Sa saveur vanillée, subtile et délicate, ravira les palais les plus exigeants. Craquez pour ce dessert équilibré qui allie simplicité et élégance, et laissez-vous transporter par une expérience gustative inoubliable.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/6-Mochi-Glace-a-la-Vanille-Wao.jpg,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
375,https://mondialfood.fr/produit/delicieux-mochi-mango-ice-cream-wao/,delicieux-mochi-mango-ice-cream-wao,Mochi Glacé Mangue WAO,mochi glacé mangue wao,wao,Wao,Desserts &amp; Fruits,,"Découvrez le Mochi Mango Ice Cream WAO avec sa crème glacée onctueuse à la mangue et sa coque de mochi délicieusement tendre, vous allez apprécier ce dessert frais et gourmand. Chaque bouchée apporte la douceur fruitée de la mangue. Idéal pour se rafraîchir lors d’une pause gourmande ou pour…","Mochi mangue ice Cream WAO : Une douceur exotique <p>Le mochi Mango Ice Cream de la marque WAO est une parfaite alliance entre la fraîcheur et la gourmandise. Avec sa crème glacée onctueuse au goût authentique de mangue et sa coque de mochi tendre, chaque bouchée est un pur délice. Ce dessert unique est conçu pour satisfaire les amateurs de saveurs fruitées et légères. Son équilibre entre douceur et texture fondante en fait une option idéale pour une pause sucrée. Que ce soit pour une journée ensoleillée ou une simple envie de fraîcheur, ce dessert exotique saura vous séduire en un instant.</p>
Un dessert parfait pour chaque occasion
<p>Ce mochi est bien plus qu’un dessert, c’est une invitation au plaisir. Sa saveur fruitée et sa texture délicate en font un choix idéal pour clôturer un repas ou se rafraîchir à tout moment. Facile à déguster et toujours délicieux, ce mochi glacé est parfait pour ravir petits et grands. Appréciez-le lors d’un moment de détente ou partagez-le avec vos proches pour une expérience gourmande inoubliable. Ce dessert irrésistible s’intègre à toutes vos envies sucrées, quelle que soit l’occasion.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/Mochi-Glace-Mangue-WAO.jpg,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
372,https://mondialfood.fr/produit/mochi-ice-cream-wao-un-delice-exotique/,mochi-ice-cream-wao-un-delice-exotique,Mochi Glacé Wao Noix de Coco,mochi glacé wao noix de coco,wao,Wao,Desserts &amp; Fruits,,"Le Mochi Ice Cream Coconut WAO vous régale avec sa coque de mochi et son cœur crémeux à la noix de coco. La texture tendre du mochi se marie parfaitement avec la douceur de la crème glacée, créant un moment de fraîcheur et de gourmandise. Parfait pour une pause sucrée ou pour finir un repas sur…","Mochi Coconut WAO Ice Cream : Un vrai régal <p>Le mochi coconut WAO Ice Cream est un dessert à la fois rafraîchissant et gourmand, parfait pour les amateurs de saveurs exotiques. Sa coque de mochi tendre et légèrement élastique renferme une crème glacée onctueuse à la noix de coco. Ce dessert, facile à déguster en toute occasion, est idéal pour une pause sucrée ou pour terminer un repas en beauté. Il séduit par sa simplicité et son goût unique, apportant une touche d’exotisme à chaque bouchée. </p>
Un dessert rafraîchissant à la noix de coco
<p>La coque de mochi, douce et légère, contraste parfaitement avec le cœur glacé, apportant une sensation agréable en bouche. Ce dessert est l’idéal pour se rafraîchir tout en savourant des saveurs authentiques. Parfait pour les amateurs de desserts exotiques, il saura satisfaire toutes vos envies gourmandes. Commandez dès maintenant et laissez-vous séduire par cette gourmandise tropicale !</p>",https://mondialfood.fr/wp-content/uploads/2025/01/Mochi-Glace-Wao-Noix-de-Coco.jpg,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
